Ticker,Current Stage,Stage Start Date,Score,Judgment,Action
DMAT,ステージ2,2025-10-03,75,危険 (ステージ3移行が濃厚),ポジションの大部分の利益確定を強く推奨。
LAC,ステージ2,2025-10-03,75,危険 (ステージ3移行が濃厚),ポジションの大部分の利益確定を強く推奨。
RAPT,ステージ2,2025-10-02,75,危険 (ステージ3移行が濃厚),ポジションの大部分の利益確定を強く推奨。
CDTX,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
CLCO,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
CRBP,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
HIVE,ステージ2,2025-10-02,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
MRUS,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
NB,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
NEUP,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
RGTI,ステージ2,2025-10-03,60,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
HYDR,ステージ2,2025-10-02,55,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
ILIT,ステージ2,2025-10-02,55,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
MNPR,ステージ2,2025-10-03,55,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
CLPT,ステージ2,2025-10-03,50,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
DFLI,ステージ2,2025-10-03,50,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
GRAL,ステージ2,2025-03-31,50,警告 (トレンド鈍化),新規の買いは見送り、一部を利益確定。
ANRO,ステージ2,2024-11-15,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
BTDR,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
CDZI,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
ERAS,ステージ2,2025-10-01,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
LAR,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
PVLA,ステージ2,2025-09-30,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
RZLV,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
SETM,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
TVRD,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
USAR,ステージ2,2025-10-03,45,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
CLNN,ステージ2,2025-10-02,40,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
